"filename", "language", "KvLang", "Ini", "Python", "Log", "XML", "comment", "blank", "total"
"c:\Users\mneroni.INIM\Desktop\Dough-o\.idea\SmartProofPi.iml", "XML", 0, 0, 0, 0, 8, 0, 0, 8
"c:\Users\mneroni.INIM\Desktop\Dough-o\.idea\dictionaries\marco.xml", "XML", 0, 0, 0, 0, 3, 0, 0, 3
"c:\Users\mneroni.INIM\Desktop\Dough-o\.idea\inspectionProfiles\profiles_settings.xml", "XML", 0, 0, 0, 0, 6, 0, 0, 6
"c:\Users\mneroni.INIM\Desktop\Dough-o\.idea\misc.xml", "XML", 0, 0, 0, 0, 4, 0, 0, 4
"c:\Users\mneroni.INIM\Desktop\Dough-o\.idea\modules.xml", "XML", 0, 0, 0, 0, 8, 0, 0, 8
"c:\Users\mneroni.INIM\Desktop\Dough-o\.idea\workspace.xml", "XML", 0, 0, 0, 0, 100, 0, 0, 100
"c:\Users\mneroni.INIM\Desktop\Dough-o\Lang\italiano.py", "Python", 0, 0, 61, 0, 0, 0, 7, 68
"c:\Users\mneroni.INIM\Desktop\Dough-o\Logs\_WIN.log", "Log", 0, 0, 0, 44, 0, 0, 1, 45
"c:\Users\mneroni.INIM\Desktop\Dough-o\Recovery\config.ini", "Ini", 0, 24, 0, 0, 0, 0, 6, 30
"c:\Users\mneroni.INIM\Desktop\Dough-o\Recovery\italiano.py", "Python", 0, 0, 58, 0, 0, 0, 7, 65
"c:\Users\mneroni.INIM\Desktop\Dough-o\Test\TestClasses.py", "Python", 0, 0, 55, 0, 0, 9, 22, 86
"c:\Users\mneroni.INIM\Desktop\Dough-o\config.ini", "Ini", 0, 63, 0, 0, 0, 0, 9, 72
"c:\Users\mneroni.INIM\Desktop\Dough-o\ds18b20\__init__.py", "Python", 0, 0, 81, 0, 0, 18, 25, 124
"c:\Users\mneroni.INIM\Desktop\Dough-o\kv\home_screen.kv", "KvLang", 228, 0, 0, 0, 0, 20, 49, 297
"c:\Users\mneroni.INIM\Desktop\Dough-o\kv\info_screen.kv", "KvLang", 37, 0, 0, 0, 0, 5, 6, 48
"c:\Users\mneroni.INIM\Desktop\Dough-o\kv\loadfrommemory_screen.kv", "KvLang", 191, 0, 0, 0, 0, 2, 62, 255
"c:\Users\mneroni.INIM\Desktop\Dough-o\kv\multiphase_dashboard_screen.kv", "KvLang", 290, 0, 0, 0, 0, 11, 86, 387
"c:\Users\mneroni.INIM\Desktop\Dough-o\kv\multiphase_set_screen.kv", "KvLang", 539, 0, 0, 0, 0, 15, 113, 667
"c:\Users\mneroni.INIM\Desktop\Dough-o\kv\prestart_dashboard_screen.kv", "KvLang", 245, 0, 0, 0, 0, 8, 59, 312
"c:\Users\mneroni.INIM\Desktop\Dough-o\kv\prestart_set_screen.kv", "KvLang", 264, 0, 0, 0, 0, 16, 80, 360
"c:\Users\mneroni.INIM\Desktop\Dough-o\kv\savemenu_screen.kv", "KvLang", 158, 0, 0, 0, 0, 8, 44, 210
"c:\Users\mneroni.INIM\Desktop\Dough-o\kv\settings_screen.kv", "KvLang", 347, 0, 0, 0, 0, 6, 109, 462
"c:\Users\mneroni.INIM\Desktop\Dough-o\main.kv", "KvLang", 11, 0, 0, 0, 0, 1, 4, 16
"c:\Users\mneroni.INIM\Desktop\Dough-o\main.py", "Python", 0, 0, 154, 0, 0, 16, 47, 217
"c:\Users\mneroni.INIM\Desktop\Dough-o\packages\Audio.py", "Python", 0, 0, 54, 0, 0, 4, 17, 75
"c:\Users\mneroni.INIM\Desktop\Dough-o\packages\BlinkIcon.py", "Python", 0, 0, 17, 0, 0, 0, 6, 23
"c:\Users\mneroni.INIM\Desktop\Dough-o\packages\Chart.py", "Python", 0, 0, 130, 0, 0, 11, 48, 189
"c:\Users\mneroni.INIM\Desktop\Dough-o\packages\ClockLabel.py", "Python", 0, 0, 34, 0, 0, 0, 6, 40
"c:\Users\mneroni.INIM\Desktop\Dough-o\packages\ConfigModule.py", "Python", 0, 0, 398, 0, 0, 14, 77, 489
"c:\Users\mneroni.INIM\Desktop\Dough-o\packages\FractionalSeparator.py", "Python", 0, 0, 5, 0, 0, 0, 4, 9
"c:\Users\mneroni.INIM\Desktop\Dough-o\packages\HomeScreen.py", "Python", 0, 0, 97, 0, 0, 0, 34, 131
"c:\Users\mneroni.INIM\Desktop\Dough-o\packages\IOInterface.py", "Python", 0, 0, 219, 0, 0, 30, 75, 324
"c:\Users\mneroni.INIM\Desktop\Dough-o\packages\InfoScreen.py", "Python", 0, 0, 14, 0, 0, 0, 2, 16
"c:\Users\mneroni.INIM\Desktop\Dough-o\packages\InputDevice.py", "Python", 0, 0, 10, 0, 0, 0, 4, 14
"c:\Users\mneroni.INIM\Desktop\Dough-o\packages\IoTCloud.py", "Python", 0, 0, 77, 0, 0, 8, 31, 116
"c:\Users\mneroni.INIM\Desktop\Dough-o\packages\LoadFromMemoryScreen.py", "Python", 0, 0, 113, 0, 0, 1, 33, 147
"c:\Users\mneroni.INIM\Desktop\Dough-o\packages\LongPressButton.py", "Python", 0, 0, 19, 0, 0, 0, 5, 24
"c:\Users\mneroni.INIM\Desktop\Dough-o\packages\MultiPhaseDashBoardScreen.py", "Python", 0, 0, 251, 0, 0, 21, 91, 363
"c:\Users\mneroni.INIM\Desktop\Dough-o\packages\MultiPhaseSetScreen.py", "Python", 0, 0, 159, 0, 0, 4, 69, 232
"c:\Users\mneroni.INIM\Desktop\Dough-o\packages\OutStateImage.py", "Python", 0, 0, 57, 0, 0, 1, 14, 72
"c:\Users\mneroni.INIM\Desktop\Dough-o\packages\Ping.py", "Python", 0, 0, 51, 0, 0, 0, 10, 61
"c:\Users\mneroni.INIM\Desktop\Dough-o\packages\PrestartDashBoardScreen.py", "Python", 0, 0, 167, 0, 0, 0, 44, 211
"c:\Users\mneroni.INIM\Desktop\Dough-o\packages\PrestartSetScreen.py", "Python", 0, 0, 116, 0, 0, 3, 48, 167
"c:\Users\mneroni.INIM\Desktop\Dough-o\packages\SaveMenuScreen.py", "Python", 0, 0, 125, 0, 0, 1, 44, 170
"c:\Users\mneroni.INIM\Desktop\Dough-o\packages\SettingsScreen.py", "Python", 0, 0, 138, 0, 0, 5, 34, 177
"c:\Users\mneroni.INIM\Desktop\Dough-o\packages\Shared.py", "Python", 0, 0, 65, 0, 0, 2, 40, 107
"c:\Users\mneroni.INIM\Desktop\Dough-o\packages\TempConverter.py", "Python", 0, 0, 30, 0, 0, 0, 19, 49
"c:\Users\mneroni.INIM\Desktop\Dough-o\packages\TextInputKeyboard.py", "Python", 0, 0, 70, 0, 0, 0, 25, 95
"c:\Users\mneroni.INIM\Desktop\Dough-o\packages\TimerLabel.py", "Python", 0, 0, 83, 0, 0, 1, 34, 118
"c:\Users\mneroni.INIM\Desktop\Dough-o\packages\sound.py", "Python", 0, 0, 29, 0, 0, 0, 11, 40
"c:\Users\mneroni.INIM\Desktop\Dough-o\requests\__init__.py", "Python", 0, 0, 65, 0, 0, 53, 22, 140
"c:\Users\mneroni.INIM\Desktop\Dough-o\requests\__version__.py", "Python", 0, 0, 10, 0, 0, 3, 2, 15
"c:\Users\mneroni.INIM\Desktop\Dough-o\requests\_internal_utils.py", "Python", 0, 0, 17, 0, 0, 18, 8, 43
"c:\Users\mneroni.INIM\Desktop\Dough-o\requests\adapters.py", "Python", 0, 0, 281, 0, 0, 175, 78, 534
"c:\Users\mneroni.INIM\Desktop\Dough-o\requests\api.py", "Python", 0, 0, 28, 0, 0, 107, 27, 162
"c:\Users\mneroni.INIM\Desktop\Dough-o\requests\auth.py", "Python", 0, 0, 200, 0, 0, 48, 58, 306
"c:\Users\mneroni.INIM\Desktop\Dough-o\requests\certs.py", "Python", 0, 0, 3, 0, 0, 13, 3, 19
"c:\Users\mneroni.INIM\Desktop\Dough-o\requests\compat.py", "Python", 0, 0, 39, 0, 0, 19, 15, 73
"c:\Users\mneroni.INIM\Desktop\Dough-o\requests\cookies.py", "Python", 0, 0, 280, 0, 0, 187, 83, 550
"c:\Users\mneroni.INIM\Desktop\Dough-o\requests\exceptions.py", "Python", 0, 0, 32, 0, 0, 42, 50, 124
"c:\Users\mneroni.INIM\Desktop\Dough-o\requests\help.py", "Python", 0, 0, 88, 0, 0, 13, 19, 120
"c:\Users\mneroni.INIM\Desktop\Dough-o\requests\hooks.py", "Python", 0, 0, 14, 0, 0, 14, 7, 35
"c:\Users\mneroni.INIM\Desktop\Dough-o\requests\models.py", "Python", 0, 0, 517, 0, 0, 275, 163, 955
"c:\Users\mneroni.INIM\Desktop\Dough-o\requests\packages.py", "Python", 0, 0, 6, 0, 0, 5, 4, 15
"c:\Users\mneroni.INIM\Desktop\Dough-o\requests\sessions.py", "Python", 0, 0, 350, 0, 0, 279, 139, 768
"c:\Users\mneroni.INIM\Desktop\Dough-o\requests\status_codes.py", "Python", 0, 0, 88, 0, 0, 23, 13, 124
"c:\Users\mneroni.INIM\Desktop\Dough-o\requests\structures.py", "Python", 0, 0, 44, 0, 0, 39, 23, 106
"c:\Users\mneroni.INIM\Desktop\Dough-o\requests\utils.py", "Python", 0, 0, 499, 0, 0, 312, 172, 983
"Total", "-", 2310, 87, 5498, 44, 129, 1866, 2447, 12381